,AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,Unnamed: 23,Unnamed: 24,Unnamed: 25,Contador,15289,Unnamed: 28,Unnamed: 29,ACTIVIDAD.1,2,Unnamed: 32,SIEMBRA,3,FUMIGADA,2.1,ABONADA,74,RENOVADA,292,CORTE,624,HENOLAJE,645,DESBROSADA,695,ROTOBO,1695,RIEGO,2175,ENMIENDA,2340,ENCALADO,2485,PASTOREO,832,INTERSIEMBRA,9197,RASTRILLO,9677
46,2016,12,RANCHO,8,4766,FUMIGADA,2016-12-27 00:00:00,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2016,12,RANCHO,9,5770,FUMIGADA,2016-12-27 00:00:00,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2016,12,LA ISLA,18,11883,FUMIGADA,2016-12-28 00:00:00,28/12 casta agrofast fumigado mitad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2016,12,LA ISLA,35,11572,FUMIGADA,2016-12-28 00:00:00,28/12 casta agrofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2016,12,MANGA LARGA,1,10141,FUMIGADA,2016-12-28 00:00:00,28/12 casta grofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2016,12,RANCHO,10,5446,FUMIGADA,2016-12-30 00:00:00,30/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2016,12,RANCHO,11,3274,FUMIGADA,2016-12-30 00:00:00,30/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2016,12,PARAISO,9,25492,FUMIGADA,2016-12-31 00:00:00,31/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017,1,JUNCAL,10,11019,FUMIGADA,2017-01-02 00:00:00,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2017,1,JUNCAL,11,12330,FUMIGADA,2017-01-02 00:00:00,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2017,1,JUNCAL,12,19353,FUMIGADA,2017-01-02 00:00:00,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2017,1,MANGA LARGA,2,10825,FUMIGADA,2017-01-02 00:00:00,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2017,1,MANGA LARGA,3,10826,FUMIGADA,2017-01-02 00:00:00,2/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2017,1,PARAISO,10,24440,FUMIGADA,2017-01-04 00:00:00,4/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2017,1,PARAISO,11,19170,FUMIGADA,2017-01-04 00:00:00,4/1 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2017,1,LA ISLA,1,5652,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2017,1,LA ISLA,3,4869,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2017,1,LA ISLA,9,7215,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2017,1,LA ISLA,10,7124,FUMIGADA,2017-01-10 00:00:00,10/1 RAUDO AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
